code	billable	short_desc	long_desc	three_digit	major	sub_chapter	chapter	ICD_MAJOR	ICD_FORMATTED	ICD_lower	concat	system	organ	histology_0	histology_1	histology_2
C4082	TRUE	Malig neoplm of ovrlp sites of bone/artic cartl of left limb	Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb	C40	Malignant neoplasm of bone and articular cartilage of limbs	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C40	C40.82	c4082	c4082 malignant neoplasm of overlapping sites of bone malignant neoplasms of bone malignant neoplasm of bone	muscolskeletal	bone			
C409	FALSE	Malignant neoplasm of unsp bones and artic cartilage of limb	Malignant neoplasm of unspecified bones and articular cartilage of limb	C40	Malignant neoplasm of bone and articular cartilage of limbs	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C40	C40.9	c409	c409 malignant neoplasm of unspecified bones malignant neoplasms of bone malignant neoplasm of bone	muscolskeletal	bone			
C4090	TRUE	Malig neoplasm of unsp bones and artic cartlg of unsp limb	Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb	C40	Malignant neoplasm of bone and articular cartilage of limbs	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C40	C40.90	c4090	c4090 malignant neoplasm of unspecified bones malignant neoplasms of bone malignant neoplasm of bone	muscolskeletal	bone			
C4091	TRUE	Malig neoplasm of unsp bones and artic cartlg of right limb	Malignant neoplasm of unspecified bones and articular cartilage of right limb	C40	Malignant neoplasm of bone and articular cartilage of limbs	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C40	C40.91	c4091	c4091 malignant neoplasm of unspecified bones malignant neoplasms of bone malignant neoplasm of bone	muscolskeletal	bone			
C4092	TRUE	Malig neoplasm of unsp bones and artic cartlg of left limb	Malignant neoplasm of unspecified bones and articular cartilage of left limb	C40	Malignant neoplasm of bone and articular cartilage of limbs	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C40	C40.92	c4092	c4092 malignant neoplasm of unspecified bones malignant neoplasms of bone malignant neoplasm of bone	muscolskeletal	bone			
C41	FALSE	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.	c41	c41 malignant neoplasm of bone malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C410	TRUE	Malignant neoplasm of bones of skull and face	Malignant neoplasm of bones of skull and face	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.0	c410	c410 malignant neoplasm of bones of skull malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C411	TRUE	Malignant neoplasm of mandible	Malignant neoplasm of mandible	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.1	c411	c411 malignant neoplasm of mandible malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C412	TRUE	Malignant neoplasm of vertebral column	Malignant neoplasm of vertebral column	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.2	c412	c412 malignant neoplasm of vertebral column malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C413	TRUE	Malignant neoplasm of ribs, sternum and clavicle	Malignant neoplasm of ribs, sternum and clavicle	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.3	c413	c413 malignant neoplasm of ribs sternum malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C414	TRUE	Malignant neoplasm of pelvic bones, sacrum and coccyx	Malignant neoplasm of pelvic bones, sacrum and coccyx	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.4	c414	c414 malignant neoplasm of pelvic bones sacrum malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C419	TRUE	Malignant neoplasm of bone and articular cartilage, unsp	Malignant neoplasm of bone and articular cartilage, unspecified	C41	Malignant neoplasm of bone/artic cartl of and unsp sites	Malignant Neoplasms Of Bone And Articular Cartilage	Neoplasms	C41	C41.9	c419	c419 malignant neoplasm of bone malignant neoplasms of bone malignant neoplasm of bone artic cartl of	muscolskeletal	bone			
C43	FALSE	Malignant melanoma of skin	Malignant melanoma of skin	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.	c43	c43 malignant melanoma of skin melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C430	TRUE	Malignant melanoma of lip	Malignant melanoma of lip	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.0	c430	c430 malignant melanoma of lip melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C431	FALSE	Malignant melanoma of eyelid, including canthus	Malignant melanoma of eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.1	c431	c431 malignant melanoma of eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4310	TRUE	Malignant melanoma of unspecified eyelid, including canthus	Malignant melanoma of unspecified eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.10	c4310	c4310 malignant melanoma of unspecified eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4311	FALSE	Malignant melanoma of right eyelid, including canthus	Malignant melanoma of right eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.11	c4311	c4311 malignant melanoma of right eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C43111	TRUE	Malignant melanoma of right upper eyelid, including canthus	Malignant melanoma of right upper eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.111	c43111	c43111 malignant melanoma of right upper eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C43112	TRUE	Malignant melanoma of right lower eyelid, including canthus	Malignant melanoma of right lower eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.112	c43112	c43112 malignant melanoma of right lower eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4312	FALSE	Malignant melanoma of left eyelid, including canthus	Malignant melanoma of left eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.12	c4312	c4312 malignant melanoma of left eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C43121	TRUE	Malignant melanoma of left upper eyelid, including canthus	Malignant melanoma of left upper eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.121	c43121	c43121 malignant melanoma of left upper eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C43122	TRUE	Malignant melanoma of left lower eyelid, including canthus	Malignant melanoma of left lower eyelid, including canthus	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.122	c43122	c43122 malignant melanoma of left lower eyelid including canthus melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C432	FALSE	Malignant melanoma of ear and external auricular canal	Malignant melanoma of ear and external auricular canal	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.2	c432	c432 malignant melanoma of ear melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4320	TRUE	Malignant melanoma of unsp ear and external auricular canal	Malignant melanoma of unspecified ear and external auricular canal	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.20	c4320	c4320 malignant melanoma of unspecified ear melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4321	TRUE	Malignant melanoma of right ear and external auricular canal	Malignant melanoma of right ear and external auricular canal	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.21	c4321	c4321 malignant melanoma of right ear melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4322	TRUE	Malignant melanoma of left ear and external auricular canal	Malignant melanoma of left ear and external auricular canal	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.22	c4322	c4322 malignant melanoma of left ear melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C433	FALSE	Malignant melanoma of other and unspecified parts of face	Malignant melanoma of other and unspecified parts of face	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.3	c433	c433 malignant melanoma of other melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4330	TRUE	Malignant melanoma of unspecified part of face	Malignant melanoma of unspecified part of face	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.30	c4330	c4330 malignant melanoma of unspecified part of face melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4331	TRUE	Malignant melanoma of nose	Malignant melanoma of nose	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.31	c4331	c4331 malignant melanoma of nose melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4339	TRUE	Malignant melanoma of other parts of face	Malignant melanoma of other parts of face	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.39	c4339	c4339 malignant melanoma of other parts of face melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C434	TRUE	Malignant melanoma of scalp and neck	Malignant melanoma of scalp and neck	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.4	c434	c434 malignant melanoma of scalp melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C435	FALSE	Malignant melanoma of trunk	Malignant melanoma of trunk	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.5	c435	c435 malignant melanoma of trunk melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4351	TRUE	Malignant melanoma of anal skin	Malignant melanoma of anal skin	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.51	c4351	c4351 malignant melanoma of anal skin melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4352	TRUE	Malignant melanoma of skin of breast	Malignant melanoma of skin of breast	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.52	c4352	c4352 malignant melanoma of skin of breast melanoma malignant melanoma of skin	integumentary	breast	melanoma		
C4359	TRUE	Malignant melanoma of other part of trunk	Malignant melanoma of other part of trunk	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.59	c4359	c4359 malignant melanoma of other part of trunk melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C436	FALSE	Malignant melanoma of upper limb, including shoulder	Malignant melanoma of upper limb, including shoulder	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.6	c436	c436 malignant melanoma of upper limb including shoulder melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4360	TRUE	Malignant melanoma of unsp upper limb, including shoulder	Malignant melanoma of unspecified upper limb, including shoulder	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.60	c4360	c4360 malignant melanoma of unspecified upper limb including shoulder melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4361	TRUE	Malignant melanoma of right upper limb, including shoulder	Malignant melanoma of right upper limb, including shoulder	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.61	c4361	c4361 malignant melanoma of right upper limb including shoulder melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4362	TRUE	Malignant melanoma of left upper limb, including shoulder	Malignant melanoma of left upper limb, including shoulder	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.62	c4362	c4362 malignant melanoma of left upper limb including shoulder melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C437	FALSE	Malignant melanoma of lower limb, including hip	Malignant melanoma of lower limb, including hip	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.7	c437	c437 malignant melanoma of lower limb including hip melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4370	TRUE	Malignant melanoma of unspecified lower limb, including hip	Malignant melanoma of unspecified lower limb, including hip	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.70	c4370	c4370 malignant melanoma of unspecified lower limb including hip melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4371	TRUE	Malignant melanoma of right lower limb, including hip	Malignant melanoma of right lower limb, including hip	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.71	c4371	c4371 malignant melanoma of right lower limb including hip melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4372	TRUE	Malignant melanoma of left lower limb, including hip	Malignant melanoma of left lower limb, including hip	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.72	c4372	c4372 malignant melanoma of left lower limb including hip melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C438	TRUE	Malignant melanoma of overlapping sites of skin	Malignant melanoma of overlapping sites of skin	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.8	c438	c438 malignant melanoma of overlapping sites of skin melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C439	TRUE	Malignant melanoma of skin, unspecified	Malignant melanoma of skin, unspecified	C43	Malignant melanoma of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C43	C43.9	c439	c439 malignant melanoma of skin unspecified melanoma malignant melanoma of skin	integumentary	skin	melanoma		
C4A	FALSE	Merkel cell carcinoma	Merkel cell carcinoma	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.	c4a	c4a merkel cell carcinoma melanoma other	integumentary		carcinoma		
C4A0	TRUE	Merkel cell carcinoma of lip	Merkel cell carcinoma of lip	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.0	c4a0	c4a0 merkel cell carcinoma of lip melanoma other	integumentary		carcinoma		
C4A1	FALSE	Merkel cell carcinoma of eyelid, including canthus	Merkel cell carcinoma of eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.1	c4a1	c4a1 merkel cell carcinoma of eyelid including canthus melanoma other	integumentary		carcinoma		
C4A10	TRUE	Merkel cell carcinoma of unsp eyelid, including canthus	Merkel cell carcinoma of unspecified eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.10	c4a10	c4a10 merkel cell carcinoma of unspecified eyelid including canthus melanoma other	integumentary		carcinoma		
C4A11	FALSE	Merkel cell carcinoma of right eyelid, including canthus	Merkel cell carcinoma of right eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.11	c4a11	c4a11 merkel cell carcinoma of right eyelid including canthus melanoma other	integumentary		carcinoma		
C4A111	TRUE	Merkel cell carcinoma of right upper eyelid, inc canthus	Merkel cell carcinoma of right upper eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.111	c4a111	c4a111 merkel cell carcinoma of right upper eyelid including canthus melanoma other	integumentary		carcinoma		
C4A112	TRUE	Merkel cell carcinoma of right lower eyelid, inc canthus	Merkel cell carcinoma of right lower eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.112	c4a112	c4a112 merkel cell carcinoma of right lower eyelid including canthus melanoma other	integumentary		carcinoma		
C4A12	FALSE	Merkel cell carcinoma of left eyelid, including canthus	Merkel cell carcinoma of left eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.12	c4a12	c4a12 merkel cell carcinoma of left eyelid including canthus melanoma other	integumentary		carcinoma		
C4A121	TRUE	Merkel cell carcinoma of left upper eyelid, inc canthus	Merkel cell carcinoma of left upper eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.121	c4a121	c4a121 merkel cell carcinoma of left upper eyelid including canthus melanoma other	integumentary		carcinoma		
C4A122	TRUE	Merkel cell carcinoma of left lower eyelid, inc canthus	Merkel cell carcinoma of left lower eyelid, including canthus	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.122	c4a122	c4a122 merkel cell carcinoma of left lower eyelid including canthus melanoma other	integumentary		carcinoma		
C4A2	FALSE	Merkel cell carcinoma of ear and external auricular canal	Merkel cell carcinoma of ear and external auricular canal	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.2	c4a2	c4a2 merkel cell carcinoma of ear melanoma other	integumentary		carcinoma		
C4A20	TRUE	Merkel cell carcinoma of unsp ear and external auric canal	Merkel cell carcinoma of unspecified ear and external auricular canal	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.20	c4a20	c4a20 merkel cell carcinoma of unspecified ear melanoma other	integumentary		carcinoma		
C4A21	TRUE	Merkel cell carcinoma of right ear and external auric canal	Merkel cell carcinoma of right ear and external auricular canal	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.21	c4a21	c4a21 merkel cell carcinoma of right ear melanoma other	integumentary		carcinoma		
C4A22	TRUE	Merkel cell carcinoma of left ear and external auric canal	Merkel cell carcinoma of left ear and external auricular canal	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.22	c4a22	c4a22 merkel cell carcinoma of left ear melanoma other	integumentary		carcinoma		
C4A3	FALSE	Merkel cell carcinoma of other and unspecified parts of face	Merkel cell carcinoma of other and unspecified parts of face	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.3	c4a3	c4a3 merkel cell carcinoma of other melanoma other	integumentary		carcinoma		
C4A30	TRUE	Merkel cell carcinoma of unspecified part of face	Merkel cell carcinoma of unspecified part of face	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.30	c4a30	c4a30 merkel cell carcinoma of unspecified part of face melanoma other	integumentary		carcinoma		
C4A31	TRUE	Merkel cell carcinoma of nose	Merkel cell carcinoma of nose	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.31	c4a31	c4a31 merkel cell carcinoma of nose melanoma other	integumentary		carcinoma		
C4A39	TRUE	Merkel cell carcinoma of other parts of face	Merkel cell carcinoma of other parts of face	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.39	c4a39	c4a39 merkel cell carcinoma of other parts of face melanoma other	integumentary		carcinoma		
C4A4	TRUE	Merkel cell carcinoma of scalp and neck	Merkel cell carcinoma of scalp and neck	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.4	c4a4	c4a4 merkel cell carcinoma of scalp melanoma other	integumentary		carcinoma		
C4A5	FALSE	Merkel cell carcinoma of trunk	Merkel cell carcinoma of trunk	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.5	c4a5	c4a5 merkel cell carcinoma of trunk melanoma other	integumentary		carcinoma		
C4A51	TRUE	Merkel cell carcinoma of anal skin	Merkel cell carcinoma of anal skin	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.51	c4a51	c4a51 merkel cell carcinoma of anal skin melanoma other	integumentary	skin	carcinoma		
C4A52	TRUE	Merkel cell carcinoma of skin of breast	Merkel cell carcinoma of skin of breast	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.52	c4a52	c4a52 merkel cell carcinoma of skin of breast melanoma other	integumentary	breast	carcinoma		
C4A59	TRUE	Merkel cell carcinoma of other part of trunk	Merkel cell carcinoma of other part of trunk	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.59	c4a59	c4a59 merkel cell carcinoma of other part of trunk melanoma other	integumentary		carcinoma		
C4A6	FALSE	Merkel cell carcinoma of upper limb, including shoulder	Merkel cell carcinoma of upper limb, including shoulder	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.6	c4a6	c4a6 merkel cell carcinoma of upper limb including shoulder melanoma other	integumentary		carcinoma		
C4A60	TRUE	Merkel cell carcinoma of unsp upper limb, including shoulder	Merkel cell carcinoma of unspecified upper limb, including shoulder	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.60	c4a60	c4a60 merkel cell carcinoma of unspecified upper limb including shoulder melanoma other	integumentary		carcinoma		
C4A61	TRUE	Merkel cell carcinoma of right upper limb, inc shoulder	Merkel cell carcinoma of right upper limb, including shoulder	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.61	c4a61	c4a61 merkel cell carcinoma of right upper limb including shoulder melanoma other	integumentary		carcinoma		
C4A62	TRUE	Merkel cell carcinoma of left upper limb, including shoulder	Merkel cell carcinoma of left upper limb, including shoulder	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.62	c4a62	c4a62 merkel cell carcinoma of left upper limb including shoulder melanoma other	integumentary		carcinoma		
C4A7	FALSE	Merkel cell carcinoma of lower limb, including hip	Merkel cell carcinoma of lower limb, including hip	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.7	c4a7	c4a7 merkel cell carcinoma of lower limb including hip melanoma other	integumentary		carcinoma		
C4A70	TRUE	Merkel cell carcinoma of unsp lower limb, including hip	Merkel cell carcinoma of unspecified lower limb, including hip	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.70	c4a70	c4a70 merkel cell carcinoma of unspecified lower limb including hip melanoma other	integumentary		carcinoma		
C4A71	TRUE	Merkel cell carcinoma of right lower limb, including hip	Merkel cell carcinoma of right lower limb, including hip	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.71	c4a71	c4a71 merkel cell carcinoma of right lower limb including hip melanoma other	integumentary		carcinoma		
C4A72	TRUE	Merkel cell carcinoma of left lower limb, including hip	Merkel cell carcinoma of left lower limb, including hip	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.72	c4a72	c4a72 merkel cell carcinoma of left lower limb including hip melanoma other	integumentary		carcinoma		
C4A8	TRUE	Merkel cell carcinoma of overlapping sites	Merkel cell carcinoma of overlapping sites	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.8	c4a8	c4a8 merkel cell carcinoma of overlapping sites melanoma other	integumentary		carcinoma		
C4A9	TRUE	Merkel cell carcinoma, unspecified	Merkel cell carcinoma, unspecified	C4A	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C4A	C4A.9	c4a9	c4a9 merkel cell carcinoma unspecified melanoma other	integumentary		carcinoma		
C44	FALSE	Other and unspecified malignant neoplasm of skin	Other and unspecified malignant neoplasm of skin	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.	c44	c44 other melanoma other	integumentary		melanoma		
C440	FALSE	Other and unspecified malignant neoplasm of skin of lip	Other and unspecified malignant neoplasm of skin of lip	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.0	c440	c440 other melanoma other	integumentary		melanoma		
C4400	TRUE	Unspecified malignant neoplasm of skin of lip	Unspecified malignant neoplasm of skin of lip	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.00	c4400	c4400 unspecified malignant neoplasm of skin of lip melanoma other	integumentary	skin	melanoma		
C4401	TRUE	Basal cell carcinoma of skin of lip	Basal cell carcinoma of skin of lip	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.01	c4401	c4401 basal cell carcinoma of skin of lip melanoma other	integumentary	skin	carcinoma	basal cell	
C4402	TRUE	Squamous cell carcinoma of skin of lip	Squamous cell carcinoma of skin of lip	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.02	c4402	c4402 squamous cell carcinoma of skin of lip melanoma other	integumentary	skin	carcinoma		
C4409	TRUE	Other specified malignant neoplasm of skin of lip	Other specified malignant neoplasm of skin of lip	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.09	c4409	c4409 other specified malignant neoplasm of skin of lip melanoma other	integumentary	skin	melanoma		
C441	FALSE	Oth and unsp malignant neoplasm skin/ eyelid, inc canthus	Other and unspecified malignant neoplasm of skin of eyelid, including canthus	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.1	c441	c441 other melanoma other	integumentary		melanoma		
C4410	FALSE	Unsp malignant neoplasm of skin of eyelid, including canthus	Unspecified malignant neoplasm of skin of eyelid, including canthus	C44	Other and unspecified malignant neoplasm of skin	Melanoma And Other Malignant Neoplasms Of Skin	Neoplasms	C44	C44.10	c4410	c4410 unspecified malignant neoplasm of skin of eyelid including canthus melanoma other	integumentary	skin	melanoma		
